SIMD without OpenMP vs BLAS vs OpenMP(no intrinsics)
#define M_BLOCKING 32
#define N_BLOCKING 64
#define K_BLOCKING 64


Benchmark Results:
      Implementation |      M |      N |      K |     GFLOPS |  Time (ms) |      Valid
                BLAS |   1408 |   1408 |   1408 |     126.58 |      44.11 |        Yes
                 OMP |   1408 |   1408 |   1408 |      31.95 |     174.73 |        Yes
            cpu_simd |   1536 |   1536 |   1536 |     136.95 |      52.92 |        Yes
                BLAS |   1536 |   1536 |   1536 |     128.91 |      56.22 |        Yes
                 OMP |   1536 |   1536 |   1536 |      32.40 |     223.72 |        Yes
            cpu_simd |   1664 |   1664 |   1664 |     134.61 |      68.45 |        Yes
                BLAS |   1664 |   1664 |   1664 |     129.94 |      70.91 |        Yes
                 OMP |   1664 |   1664 |   1664 |      31.68 |     290.89 |        Yes
            cpu_simd |   1792 |   1792 |   1792 |     137.63 |      83.63 |        Yes
                BLAS |   1792 |   1792 |   1792 |     129.72 |      88.72 |        Yes
                 OMP |   1792 |   1792 |   1792 |      31.94 |     360.35 |        Yes
            cpu_simd |   1920 |   1920 |   1920 |     133.53 |     106.01 |        Yes
                BLAS |   1920 |   1920 |   1920 |     129.83 |     109.03 |        Yes
                 OMP |   1920 |   1920 |   1920 |      31.38 |     451.05 |        Yes
            cpu_simd |   2048 |   2048 |   2048 |     136.00 |     126.33 |        Yes
                BLAS |   2048 |   2048 |   2048 |     131.86 |     130.28 |        Yes
                 OMP |   2048 |   2048 |   2048 |      31.83 |     539.71 |        Yes

--------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------
